colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr
Blonde Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:51:15Z,Woodmatt
Ecru Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:52:06Z,Woodmatt
Boston Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:54:14Z,Woodmatt
Laurel Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:18Z,Woodmatt
Botany Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:56:08Z,Woodmatt
Manor Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T04:59:49Z,Woodmatt
Hazel Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T05:00:41Z,Woodmatt
Society Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/society-oak/,2025-08-21T05:01:31Z,Woodmatt
District Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/district-oak/,2025-08-21T05:02:22Z,Woodmatt
Bronzed Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T05:14:31Z,Woodmatt
Rubra Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T05:15:21Z,Woodmatt
Blackened Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T05:16:12Z,Woodmatt
Britannia,Super Matt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/britannia/,2025-08-21T05:16:20Z,Super Matt
Aston White,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/aston-white/,2025-08-21T05:18:59Z,Smooth
Gossamer White,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:58Z,Smooth
Verdelho,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/verdelho/,2025-08-21T05:20:44Z,Smooth
Pallido,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/pallido/,2025-08-21T05:21:16Z,Smooth
Elemental Grey,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:22:14Z,Smooth
Agave,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/agave/,2025-08-21T05:22:40Z,Smooth
Mercurio Grey,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/mercurio-grey/,2025-08-21T05:25:42Z,Smooth
Ligurian Walnut,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ligurian-walnut/,2025-08-21T05:32:11Z,Woodmatt
